WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010
-78,-91,-88,-65,-76,-62,-64,-84,-83,-52
-84,-90,-86,-66,-79,-65,-66,-84,-79,-51
-81,-87,-87,-65,-73,-66,-60,-87,-88,-52
-87,-91,-89,-61,-81,-63,-60,-86,-86,-48
-81,-86,-85,-62,-77,-65,-65,-84,-85,-52
-82,-85,-77,-68,-76,-69,-64,-84,-82,-59
-80,-92,-86,-69,-77,-66,-67,-86,-79,-51
-83,-86,-79,-63,-80,-64,-63,-82,-81,-56
-85,-85,-82,-63,-81,-62,-63,-81,-79,-55
-83,-95,-93,-61,-81,-59,-64,-86,-86,-47
-83,-91,-79,-69,-76,-70,-63,-89,-86,-54
-80,-89,-81,-68,-72,-71,-63,-88,-86,-54
-83,-93,-81,-70,-76,-69,-63,-90,-85,-52
-83,-91,-84,-63,-80,-61,-62,-84,-82,-51
-86,-84,-78,-65,-81,-65,-61,-80,-77,-57
-83,-92,-84,-65,-79,-64,-67,-88,-83,-50
-90,-87,-81,-61,-81,-66,-56,-85,-87,-49
-85,-83,-78,-65,-78,-64,-59,-82,-80,-58
-82,-89,-84,-64,-77,-62,-59,-83,-83,-53
-80,-82,-82,-63,-76,-66,-63,-81,-84,-55
-80,-89,-80,-69,-74,-70,-63,-87,-84,-55
-86,-86,-86,-61,-81,-58,-57,-83,-83,-52
-84,-94,-83,-68,-77,-66,-61,-90,-85,-51
-77,-91,-84,-67,-77,-63,-67,-83,-78,-54
-80,-80,-83,-64,-75,-67,-64,-82,-84,-57
-83,-85,-78,-67,-79,-68,-64,-82,-80,-58
-82,-81,-83,-63,-75,-69,-62,-84,-88,-56
-81,-81,-77,-66,-75,-72,-65,-84,-84,-57
-94,-90,-89,-55,-84,-59,-52,-87,-91,-45
-77,-93,-87,-66,-74,-66,-65,-85,-85,-52
-81,-82,-78,-68,-75,-68,-64,-82,-80,-59
-87,-92,-81,-67,-78,-69,-61,-90,-85,-51
-83,-90,-84,-61,-81,-60,-63,-83,-81,-51
-80,-90,-84,-64,-77,-64,-61,-83,-84,-53
-80,-96,-90,-62,-83,-56,-69,-82,-77,-50
-80,-89,-86,-68,-75,-69,-68,-86,-81,-53
-91,-86,-78,-60,-82,-66,-55,-86,-88,-51
-81,-92,-86,-67,-78,-67,-69,-85,-81,-52
-81,-85,-81,-68,-75,-68,-65,-84,-81,-57
-85,-90,-91,-58,-80,-60,-57,-86,-92,-48
-78,-94,-88,-64,-81,-59,-70,-81,-77,-52
-88,-83,-81,-61,-77,-69,-57,-87,-92,-50
-84,-88,-78,-67,-79,-65,-61,-84,-80,-56
-79,-92,-86,-65,-79,-63,-69,-83,-80,-53
-86,-85,-85,-57,-81,-60,-56,-83,-89,-51
-83,-86,-78,-68,-75,-69,-61,-86,-83,-55
-82,-90,-82,-66,-80,-63,-67,-84,-78,-55
-85,-87,-82,-66,-81,-65,-66,-83,-78,-55
-87,-87,-86,-60,-83,-59,-59,-82,-82,-51
-80,-89,-82,-67,-77,-67,-67,-84,-82,-54
-81,-87,-84,-66,-76,-68,-66,-84,-82,-54
-79,-89,-84,-62,-80,-60,-64,-79,-79,-54
-83,-90,-86,-63,-77,-64,-60,-87,-88,-52
-84,-86,-79,-70,-76,-72,-65,-87,-83,-56
-77,-91,-83,-68,-75,-66,-67,-84,-80,-55
-81,-80,-76,-66,-75,-70,-63,-82,-83,-59
-84,-90,-86,-63,-78,-65,-62,-85,-84,-51
-76,-88,-82,-67,-75,-67,-68,-82,-81,-56
-82,-81,-76,-61,-77,-67,-59,-80,-84,-57
-86,-84,-88,-60,-78,-63,-58,-86,-91,-52
-81,-86,-79,-67,-74,-72,-65,-86,-87,-56
-84,-82,-79,-61,-76,-68,-58,-82,-87,-53
-83,-89,-85,-60,-81,-60,-64,-81,-81,-52
-78,-96,-88,-67,-77,-62,-68,-87,-80,-50
-83,-80,-81,-61,-77,-65,-59,-81,-85,-56
-84,-81,-79,-63,-76,-70,-60,-84,-87,-55
-82,-80,-82,-63,-76,-67,-62,-82,-84,-55
-89,-88,-83,-66,-79,-71,-61,-89,-86,-49
-78,-93,-85,-69,-75,-66,-66,-85,-80,-52
-85,-87,-85,-60,-80,-62,-61,-83,-85,-52
-80,-82,-81,-62,-75,-68,-62,-82,-88,-56
-81,-84,-79,-64,-75,-68,-61,-83,-85,-56
-80,-90,-85,-61,-81,-60,-64,-80,-81,-53
-79,-95,-85,-68,-75,-65,-63,-88,-83,-50
-87,-87,-85,-58,-82,-59,-57,-82,-84,-52
-81,-86,-81,-65,-78,-62,-63,-80,-78,-56
-81,-90,-83,-67,-75,-67,-62,-87,-86,-53
-81,-88,-84,-63,-79,-64,-66,-82,-81,-52
-81,-101,-94,-64,-83,-59,-73,-87,-80,-46
-78,-91,-86,-63,-79,-60,-66,-81,-80,-53
-86,-88,-80,-64,-79,-68,-64,-87,-86,-53
-81,-89,-86,-64,-76,-66,-63,-84,-86,-52
-82,-85,-78,-66,-76,-69,-63,-85,-85,-55
-80,-85,-80,-67,-76,-69,-67,-83,-82,-56
-81,-88,-84,-64,-76,-67,-64,-83,-84,-54
-84,-81,-76,-64,-76,-72,-61,-85,-88,-56
-83,-91,-89,-60,-79,-60,-61,-86,-87,-48
-88,-86,-87,-58,-81,-60,-55,-83,-88,-51
-79,-102,-91,-66,-78,-62,-69,-89,-83,-47
-78,-87,-84,-67,-73,-66,-62,-85,-84,-55
-81,-83,-78,-66,-75,-69,-64,-82,-83,-59
-77,-90,-83,-70,-72,-69,-65,-86,-81,-54
-83,-92,-83,-70,-76,-68,-65,-90,-82,-52
-80,-91,-83,-66,-79,-61,-64,-82,-77,-54
-82,-82,-86,-60,-77,-63,-62,-84,-89,-53
-87,-84,-83,-62,-79,-66,-59,-85,-86,-52
-81,-83,-80,-66,-74,-67,-58,-85,-85,-54
-87,-83,-80,-63,-79,-68,-59,-85,-86,-53
-80,-88,-84,-65,-79,-63,-67,-80,-77,-54
-78,-94,-88,-66,-74,-64,-62,-87,-86,-50
-82,-80,-79,-64,-74,-72,-62,-85,-90,-57
-85,-81,-79,-58,-78,-64,-56,-81,-87,-54
-85,-94,-86,-63,-83,-62,-66,-85,-80,-50
-76,-92,-86,-68,-76,-64,-68,-83,-78,-53
-80,-91,-86,-68,-76,-67,-65,-85,-79,-52
-83,-90,-82,-70,-75,-72,-66,-89,-85,-53
-78,-98,-91,-64,-81,-58,-70,-83,-78,-48
-80,-86,-80,-69,-74,-68,-63,-85,-82,-56
-79,-89,-80,-70,-75,-65,-62,-85,-78,-54
-83,-86,-83,-64,-80,-65,-67,-83,-80,-54
-83,-82,-85,-62,-76,-66,-61,-84,-89,-54
-87,-87,-85,-59,-78,-64,-57,-85,-90,-51
-84,-85,-82,-63,-77,-69,-63,-86,-87,-51
-83,-89,-82,-67,-76,-70,-63,-87,-84,-53
-85,-84,-83,-60,-79,-63,-59,-82,-86,-55
-78,-94,-87,-67,-77,-61,-65,-85,-81,-51
-87,-82,-82,-61,-81,-62,-58,-80,-82,-55
-84,-88,-88,-62,-79,-63,-62,-84,-86,-52
-82,-88,-84,-64,-78,-62,-59,-83,-82,-53
-82,-87,-82,-66,-74,-69,-62,-87,-87,-54
-85,-87,-85,-59,-82,-58,-61,-80,-81,-53
-83,-84,-82,-62,-76,-66,-59,-84,-87,-54
-86,-92,-82,-66,-81,-67,-65,-87,-84,-52
-78,-91,-84,-69,-73,-66,-62,-86,-82,-53
-80,-89,-85,-63,-79,-61,-64,-83,-81,-52
-89,-90,-92,-57,-84,-57,-60,-86,-86,-48
-87,-84,-82,-62,-78,-68,-59,-86,-88,-52
-79,-91,-84,-65,-76,-64,-62,-83,-82,-53
-80,-85,-85,-64,-74,-65,-61,-85,-87,-53
-84,-91,-86,-65,-79,-67,-67,-88,-85,-50
-78,-94,-88,-67,-74,-65,-64,-87,-85,-50
-87,-83,-81,-61,-80,-63,-58,-82,-84,-55
-79,-92,-87,-68,-72,-68,-64,-88,-86,-51
-84,-97,-85,-69,-77,-70,-65,-93,-87,-49
-82,-97,-89,-67,-79,-66,-69,-89,-83,-49
-87,-84,-77,-64,-78,-71,-61,-87,-88,-54
-78,-90,-84,-68,-75,-68,-68,-85,-81,-54
-81,-86,-81,-67,-74,-68,-63,-86,-85,-56
-83,-88,-89,-61,-77,-65,-60,-86,-91,-51
-78,-93,-88,-65,-76,-67,-67,-85,-84,-51
-86,-81,-81,-60,-80,-62,-58,-81,-84,-56
-77,-93,-88,-65,-77,-62,-69,-83,-80,-51
-83,-85,-79,-69,-75,-67,-60,-87,-83,-56
-77,-101,-91,-66,-77,-62,-67,-87,-83,-47
-84,-87,-81,-65,-77,-67,-62,-86,-87,-55
-79,-87,-83,-67,-75,-66,-62,-84,-83,-55
-84,-84,-81,-64,-77,-69,-62,-84,-84,-54
-84,-96,-82,-71,-77,-67,-61,-92,-83,-50
-80,-89,-88,-66,-74,-69,-65,-87,-87,-52
-80,-89,-83,-64,-78,-65,-67,-85,-83,-53
-84,-85,-84,-60,-80,-60,-58,-81,-85,-54
-80,-94,-84,-69,-75,-68,-65,-88,-82,-52
-88,-88,-82,-61,-80,-67,-62,-88,-89,-50
-78,-88,-80,-67,-75,-68,-67,-83,-81,-57
-82,-89,-80,-68,-76,-68,-63,-88,-84,-53
-90,-85,-87,-57,-79,-61,-52,-88,-94,-48
-82,-83,-85,-63,-78,-61,-61,-82,-83,-55
-79,-87,-84,-65,-78,-63,-68,-82,-80,-55
-85,-85,-81,-60,-80,-62,-59,-82,-84,-54
-79,-88,-81,-69,-76,-64,-64,-83,-77,-56
-88,-83,-82,-60,-80,-64,-55,-84,-87,-52
-88,-88,-85,-60,-80,-64,-57,-85,-87,-49
-85,-83,-82,-59,-79,-63,-57,-81,-87,-54
-80,-80,-84,-63,-74,-66,-60,-83,-88,-55
-91,-88,-82,-59,-81,-67,-55,-88,-92,-48
-78,-95,-86,-68,-74,-67,-63,-88,-85,-50
-82,-88,-89,-62,-76,-62,-58,-86,-90,-50
-81,-84,-86,-63,-77,-62,-62,-83,-85,-54
-89,-85,-78,-64,-77,-73,-60,-90,-92,-52
-79,-93,-89,-65,-75,-64,-64,-87,-86,-50
-84,-83,-86,-59,-81,-59,-62,-81,-85,-54
-81,-97,-84,-70,-75,-67,-64,-91,-84,-50
-81,-85,-80,-68,-73,-72,-64,-86,-84,-55
-92,-89,-83,-63,-82,-67,-57,-88,-86,-48
-85,-81,-84,-62,-77,-66,-60,-83,-86,-54
-84,-86,-86,-63,-77,-63,-57,-85,-87,-52
-83,-83,-84,-63,-78,-63,-62,-81,-82,-55
-79,-81,-82,-65,-73,-67,-62,-82,-84,-57
-80,-99,-87,-69,-73,-70,-65,-92,-88,-48
-88,-82,-85,-60,-78,-62,-54,-86,-90,-51
-82,-96,-87,-66,-82,-62,-70,-87,-80,-50
-81,-83,-78,-66,-77,-66,-63,-80,-80,-58
-77,-88,-84,-66,-77,-64,-68,-82,-79,-54
-81,-83,-80,-67,-76,-69,-64,-82,-80,-57
-82,-82,-79,-63,-76,-66,-59,-82,-85,-56
-83,-88,-82,-66,-78,-66,-66,-83,-79,-55
-82,-80,-83,-63,-76,-67,-62,-83,-86,-57
-84,-86,-84,-58,-80,-61,-59,-82,-86,-51
-84,-85,-81,-62,-77,-66,-59,-86,-89,-52
-84,-83,-85,-61,-77,-65,-59,-84,-89,-53
-84,-89,-77,-71,-76,-71,-64,-89,-84,-56
-85,-88,-88,-60,-79,-63,-59,-85,-90,-51
-84,-88,-77,-69,-75,-73,-63,-89,-86,-56
-84,-81,-77,-65,-76,-71,-61,-86,-88,-56
-82,-89,-82,-65,-79,-65,-65,-82,-81,-54
-84,-88,-82,-64,-80,-63,-61,-81,-78,-54
-80,-88,-82,-68,-75,-66,-63,-86,-81,-54
-87,-93,-85,-69,-79,-70,-67,-92,-85,-50
-82,-93,-87,-64,-81,-63,-69,-85,-81,-50
-83,-84,-81,-61,-79,-65,-61,-81,-83,-53
-87,-86,-81,-62,-81,-63,-60,-82,-81,-53
-80,-82,-76,-67,-74,-71,-64,-83,-84,-58
-84,-85,-82,-62,-77,-69,-62,-86,-89,-51
-85,-88,-79,-64,-79,-68,-63,-86,-86,-54
-82,-83,-85,-64,-78,-65,-64,-82,-82,-56
-87,-84,-81,-63,-79,-65,-59,-84,-85,-55
-78,-85,-83,-66,-73,-66,-61,-83,-84,-55
-84,-86,-83,-63,-77,-65,-58,-85,-84,-52
-81,-90,-86,-63,-78,-64,-66,-84,-82,-51
-83,-91,-84,-69,-74,-71,-63,-89,-85,-51
-82,-92,-86,-64,-74,-66,-60,-89,-88,-50
-85,-88,-85,-59,-81,-61,-59,-83,-87,-51
-87,-85,-83,-63,-80,-64,-58,-83,-82,-52
-79,-96,-86,-67,-79,-62,-68,-85,-80,-51
-82,-92,-89,-63,-76,-65,-62,-87,-89,-49
-79,-82,-79,-66,-73,-68,-62,-84,-84,-56
-79,-98,-88,-67,-79,-60,-68,-86,-78,-49
-82,-88,-87,-64,-77,-63,-60,-86,-86,-52
-81,-81,-78,-63,-77,-67,-63,-81,-83,-58
-81,-86,-84,-66,-75,-64,-61,-85,-84,-54
-77,-88,-86,-66,-76,-65,-67,-81,-82,-54
-86,-85,-84,-59,-80,-60,-57,-82,-86,-52
-84,-87,-88,-60,-81,-58,-62,-82,-83,-53
-82,-84,-80,-63,-78,-65,-62,-80,-81,-57
-87,-83,-88,-57,-80,-61,-56,-84,-92,-51
-84,-84,-86,-63,-79,-63,-63,-83,-84,-54
-81,-91,-88,-66,-74,-65,-60,-89,-88,-50
-77,-86,-83,-66,-72,-68,-64,-84,-86,-56
-81,-79,-81,-63,-76,-65,-61,-80,-83,-58
-82,-80,-78,-65,-75,-70,-62,-84,-87,-58
-80,-85,-80,-65,-78,-65,-67,-81,-80,-58
-78,-88,-81,-67,-77,-64,-68,-81,-77,-57
-78,-92,-83,-69,-76,-64,-65,-84,-79,-54
-87,-85,-80,-64,-78,-70,-59,-87,-88,-52
-83,-87,-84,-68,-77,-69,-67,-85,-80,-53
-77,-91,-85,-68,-72,-70,-67,-85,-84,-54
-86,-80,-83,-58,-77,-64,-54,-85,-92,-52
-82,-83,-82,-64,-74,-68,-60,-86,-89,-55
-84,-91,-82,-70,-76,-66,-59,-91,-85,-51
-78,-92,-82,-69,-74,-68,-64,-86,-83,-54
-82,-89,-81,-66,-79,-67,-68,-85,-84,-55
-79,-90,-82,-70,-73,-69,-65,-86,-83,-54
-80,-91,-80,-71,-73,-69,-63,-89,-82,-55
-79,-94,-89,-67,-77,-66,-72,-85,-80,-51
-90,-85,-78,-64,-81,-68,-59,-86,-85,-54
-85,-87,-80,-66,-79,-68,-63,-84,-81,-55
-84,-88,-83,-66,-76,-69,-63,-87,-86,-54
-83,-83,-78,-63,-78,-64,-59,-79,-80,-56
-86,-92,-86,-66,-76,-71,-63,-90,-87,-49
-81,-86,-85,-62,-78,-64,-65,-84,-86,-53
-82,-91,-81,-68,-77,-67,-63,-88,-83,-52
-83,-80,-84,-60,-77,-63,-58,-82,-90,-55
-88,-89,-87,-63,-78,-67,-60,-88,-88,-49
-81,-81,-77,-66,-75,-68,-62,-82,-83,-58
-81,-84,-81,-69,-74,-72,-66,-85,-82,-56
-81,-81,-78,-66,-75,-68,-63,-83,-83,-58
-86,-88,-82,-59,-82,-62,-60,-84,-86,-52
-80,-87,-81,-68,-74,-67,-62,-84,-82,-56
-82,-84,-83,-66,-76,-69,-63,-83,-83,-54
-89,-83,-81,-60,-80,-64,-57,-84,-87,-54
-81,-85,-84,-63,-77,-65,-63,-85,-86,-53
-86,-90,-83,-69,-79,-69,-67,-89,-81,-53
-85,-88,-81,-67,-78,-70,-66,-88,-84,-54
-84,-90,-86,-64,-79,-66,-64,-85,-82,-50
-83,-93,-80,-69,-75,-69,-62,-89,-84,-53
-87,-84,-85,-59,-82,-59,-59,-81,-83,-54
-83,-86,-83,-67,-76,-69,-63,-86,-84,-54
-83,-89,-87,-65,-75,-67,-62,-87,-87,-51
-78,-92,-83,-70,-75,-65,-65,-85,-78,-54
-78,-88,-83,-69,-74,-68,-65,-84,-80,-55
-80,-87,-85,-67,-74,-70,-65,-86,-85,-54
-79,-86,-79,-68,-77,-65,-65,-81,-76,-58
-84,-81,-87,-59,-76,-65,-58,-85,-93,-53
-81,-92,-92,-62,-77,-60,-60,-87,-90,-47
-85,-82,-86,-61,-77,-63,-57,-85,-89,-54
-84,-90,-90,-59,-79,-60,-59,-85,-90,-49
-82,-92,-83,-70,-74,-70,-64,-90,-85,-52
-88,-85,-78,-61,-80,-67,-58,-84,-87,-53
-78,-89,-83,-66,-79,-61,-70,-81,-75,-56
-88,-89,-90,-55,-82,-59,-57,-86,-92,-47
-76,-87,-82,-66,-74,-67,-67,-82,-81,-55
-87,-89,-87,-56,-83,-58,-58,-83,-87,-49
-83,-87,-86,-60,-80,-63,-64,-85,-87,-51
-81,-91,-86,-67,-74,-66,-60,-88,-87,-50
-87,-88,-77,-69,-78,-71,-63,-89,-85,-55
-81,-86,-81,-67,-77,-69,-65,-83,-81,-56
-85,-83,-82,-58,-81,-61,-59,-81,-85,-53
-78,-82,-82,-66,-74,-67,-64,-82,-83,-57
-79,-85,-83,-65,-74,-67,-63,-84,-86,-55
-79,-89,-84,-67,-75,-66,-64,-85,-84,-54
-79,-95,-91,-61,-81,-58,-69,-83,-83,-50
-82,-82,-77,-65,-76,-68,-61,-83,-84,-57
-88,-86,-79,-65,-79,-66,-59,-87,-86,-55
-85,-85,-81,-62,-80,-64,-59,-81,-81,-54
-86,-87,-82,-65,-79,-68,-63,-86,-84,-52
-80,-92,-81,-70,-74,-69,-63,-88,-83,-53
-88,-86,-79,-61,-80,-67,-60,-86,-88,-52
-79,-92,-89,-65,-76,-63,-64,-86,-85,-51
-82,-81,-82,-63,-75,-68,-62,-83,-87,-55
-86,-84,-79,-60,-79,-66,-58,-83,-86,-52
-87,-86,-80,-63,-78,-70,-60,-87,-88,-52
-83,-92,-86,-63,-80,-61,-62,-86,-83,-49
-85,-86,-80,-65,-79,-66,-61,-84,-84,-55
-83,-89,-83,-67,-79,-67,-65,-84,-80,-54
-83,-84,-84,-63,-75,-65,-57,-86,-88,-52
-80,-105,-91,-67,-78,-62,-65,-92,-85,-43
-79,-88,-84,-67,-75,-69,-67,-84,-82,-54
-90,-89,-81,-63,-83,-65,-59,-86,-84,-50
-82,-84,-77,-68,-77,-67,-64,-83,-79,-59
-78,-93,-88,-64,-80,-60,-67,-83,-80,-52
-81,-92,-84,-70,-73,-71,-65,-89,-85,-52
-80,-85,-83,-64,-76,-68,-67,-84,-85,-53
-85,-85,-80,-64,-78,-69,-63,-86,-86,-53
