WAP006,WAP008,WAP010,WAP011,WAP012,WAP015,WAP016,WAP017,WAP021,WAP022,WAP023,WAP027,WAP028,WAP029,WAP030,WAP035,WAP036,WAP037,WAP038,WAP045,WAP046,WAP049,WAP050,WAP055,WAP056,WAP059,WAP077,WAP078,WAP082,WAP083,WAP084,WAP085,WAP086,WAP088,WAP089,WAP090,WAP091,WAP101,WAP102,WAP103,WAP104,WAP105,WAP106,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP119,WAP120,WAP121,WAP123,WAP124,WAP125,WAP126,WAP127,WAP129,WAP130,WAP131,WAP132,WAP133,WAP134,WAP135,WAP136,WAP137,WAP140,WAP141,WAP142,WAP143,WAP144,WAP145,WAP146,WAP147,WAP148,WAP149,WAP150,WAP151,WAP155,WAP156,WAP164,WAP165,WAP166,WAP167,WAP168,WAP169,WAP170,WAP171,WAP172,WAP173,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP182,WAP183,WAP184,WAP185,WAP186,WAP187,WAP188,WAP189,WAP191,WAP192,WAP198,WAP206,WAP222,WAP223,WAP248,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP268,WAP274,WAP278,WAP282,WAP284,WAP286,WAP288,WAP289,WAP294,WAP295,WAP308,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP329,WAP334,WAP338,WAP340,WAP342,WAP343,WAP344,WAP345,WAP350,WAP351,WAP362,WAP364,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP373,WAP374,WAP375,WAP386,WAP390,WAP394,WAP396,WAP398,WAP400,WAP401,WAP404,WAP405,WAP407,WAP413,WAP415,WAP418,WAP432,WAP446,WAP449,WAP454,WAP468,WAP478,WAP489,WAP490,WAP503,X,Y,D_score,zone_x,zone_y,zone_id
-84,-82,-67,-66,-80,-66,-68,-84,-74,-63,-85,-84,-68,-73,-70,-71,-68,-64,-63,-66,-84,-74,-80,-63,-66,-72,-84,-82,-91,-83,-89,-75,-91,-88,-69,-74,-72,-81,-79,-87,-71,-76,-77,-79,-71,-88,-71,-72,-83,-86,-81,-74,-87,-65,-75,-73,-65,-81,-84,-90,-69,-73,-67,-65,-85,-81,-82,-69,-68,-81,-68,-81,-76,-70,-90,-88,-67,-81,-70,-89,-87,-62,-80,-79,-79,-71,-71,-69,-71,-69,-85,-70,-65,-64,-71,-78,-78,-84,-88,-73,-71,-79,-80,-76,-73,-71,-83,-86,-66,-66,-68,-72,-71,-73,-69,-87,-88,-84,-88,-80,-78,-74,-86,-73,-64,-68,-89,-88,-82,-84,-62,-85,-64,-68,-63,-79,-70,-85,-71,-74,-79,-67,-64,-83,-64,-84,-70,-81,-80,-89,-77,-83,-91,-70,-85,-62,-83,-68,-63,-85,-63,-88,-89,-71,-65,-70,-85,-77,-82,-81,-69,-65,-64,-82,-71,-85,-82,-83,-80,-65,-81,-66,-80,-82,-68,-67,-73,-69,-87,-83,-5627.6616,3442100.2,3.119652e-31,-2814,9,-28131
-85,-84,-67,-68,-80,-68,-66,-86,-71,-65,-84,-81,-66,-74,-70,-70,-68,-63,-66,-65,-87,-72,-80,-64,-67,-71,-83,-81,-86,-83,-88,-76,-90,-87,-69,-73,-72,-83,-80,-85,-74,-77,-76,-79,-67,-87,-70,-72,-84,-83,-84,-74,-87,-65,-77,-74,-66,-81,-84,-88,-71,-70,-66,-68,-85,-82,-82,-70,-69,-81,-65,-85,-78,-72,-90,-87,-71,-81,-71,-87,-83,-61,-76,-82,-76,-73,-70,-71,-70,-67,-85,-73,-64,-66,-69,-78,-78,-84,-89,-73,-72,-82,-78,-78,-72,-68,-83,-85,-68,-69,-68,-73,-70,-73,-67,-88,-88,-84,-86,-81,-76,-72,-88,-73,-62,-70,-86,-83,-79,-83,-63,-85,-63,-68,-67,-82,-71,-85,-68,-73,-80,-69,-64,-83,-66,-84,-68,-81,-82,-90,-77,-82,-92,-68,-88,-63,-80,-68,-64,-84,-66,-86,-85,-70,-67,-70,-81,-75,-84,-85,-68,-68,-67,-82,-72,-85,-81,-82,-84,-66,-83,-64,-80,-81,-69,-64,-74,-68,-86,-82,-5626.224,3441394.8,2.4404074e-32,-2814,9,-28131
-84,-83,-68,-68,-80,-68,-67,-84,-72,-65,-84,-82,-67,-75,-69,-71,-68,-64,-65,-65,-86,-73,-80,-65,-67,-72,-84,-81,-88,-83,-88,-76,-90,-87,-70,-73,-72,-82,-80,-85,-73,-77,-77,-79,-69,-86,-70,-72,-83,-84,-83,-73,-87,-66,-76,-74,-67,-82,-84,-87,-70,-71,-67,-68,-85,-81,-82,-70,-69,-81,-67,-84,-77,-70,-90,-86,-70,-81,-71,-87,-84,-62,-77,-81,-77,-72,-70,-71,-71,-68,-85,-72,-64,-65,-70,-78,-78,-84,-87,-72,-73,-80,-79,-77,-74,-69,-82,-86,-66,-68,-68,-73,-71,-73,-68,-87,-87,-83,-87,-81,-77,-73,-87,-73,-63,-69,-87,-84,-81,-83,-63,-85,-64,-68,-66,-80,-71,-85,-69,-74,-79,-70,-64,-82,-66,-85,-69,-81,-81,-90,-77,-82,-91,-68,-86,-62,-81,-68,-64,-84,-65,-86,-85,-71,-67,-70,-82,-76,-83,-84,-68,-67,-66,-81,-70,-85,-81,-83,-82,-66,-82,-66,-81,-81,-69,-66,-74,-68,-86,-82,-5627.099,3441881.8,6.218567e-33,-2814,9,-28131
-83,-83,-69,-68,-80,-68,-68,-84,-72,-67,-83,-81,-69,-75,-70,-70,-68,-65,-65,-67,-85,-72,-80,-66,-67,-72,-84,-83,-87,-82,-87,-76,-89,-86,-70,-74,-72,-81,-78,-85,-73,-78,-76,-81,-69,-86,-72,-72,-82,-84,-81,-73,-86,-68,-77,-75,-66,-81,-82,-85,-71,-73,-67,-68,-82,-80,-81,-70,-70,-80,-68,-82,-78,-70,-88,-85,-71,-79,-72,-86,-84,-63,-78,-81,-78,-72,-72,-72,-73,-69,-83,-73,-66,-67,-71,-80,-78,-83,-86,-73,-72,-80,-78,-78,-72,-69,-82,-84,-68,-68,-68,-73,-70,-73,-68,-87,-86,-84,-87,-80,-77,-71,-86,-71,-64,-69,-86,-83,-79,-82,-65,-85,-66,-70,-66,-80,-71,-83,-70,-75,-79,-70,-65,-83,-67,-83,-70,-80,-81,-87,-78,-81,-89,-71,-85,-64,-81,-68,-65,-83,-68,-83,-85,-70,-68,-70,-81,-75,-83,-83,-70,-68,-67,-82,-72,-84,-80,-83,-81,-67,-82,-67,-82,-79,-68,-66,-74,-70,-85,-82,-5626.0522,3441407.8,5.943282e-36,-2814,9,-28131
-83,-83,-67,-68,-79,-66,-69,-83,-76,-67,-83,-82,-68,-72,-72,-69,-68,-65,-65,-69,-84,-73,-79,-66,-67,-71,-83,-83,-87,-83,-87,-75,-88,-86,-70,-73,-72,-81,-76,-87,-72,-76,-77,-80,-71,-87,-73,-72,-82,-85,-81,-74,-85,-68,-78,-74,-65,-80,-81,-86,-71,-74,-68,-66,-82,-81,-81,-69,-68,-81,-70,-80,-78,-71,-87,-86,-69,-78,-72,-86,-86,-64,-80,-79,-79,-71,-74,-71,-73,-71,-83,-72,-68,-67,-71,-80,-79,-83,-86,-73,-69,-80,-79,-77,-71,-70,-84,-84,-68,-66,-68,-73,-71,-75,-69,-86,-86,-85,-88,-79,-78,-72,-85,-71,-66,-69,-86,-84,-79,-82,-65,-86,-66,-70,-66,-80,-70,-83,-71,-74,-80,-68,-65,-84,-66,-81,-71,-81,-80,-85,-77,-81,-87,-72,-85,-66,-83,-69,-65,-83,-68,-84,-88,-70,-67,-70,-83,-76,-81,-81,-72,-67,-67,-82,-73,-84,-82,-83,-79,-66,-80,-66,-81,-79,-68,-67,-73,-71,-84,-81,-5626.7944,3441670.2,2.5264512e-36,-2814,9,-28131
-80,-81,-72,-71,-79,-71,-71,-81,-73,-71,-80,-80,-72,-76,-71,-72,-71,-69,-68,-70,-82,-73,-79,-69,-70,-74,-82,-81,-84,-80,-83,-76,-85,-82,-72,-74,-73,-80,-77,-82,-74,-78,-76,-79,-72,-82,-73,-73,-79,-82,-80,-73,-83,-71,-77,-75,-70,-79,-80,-82,-72,-73,-70,-71,-80,-79,-80,-72,-72,-78,-71,-80,-77,-71,-84,-82,-73,-78,-74,-82,-81,-67,-77,-79,-78,-73,-72,-73,-75,-71,-81,-74,-69,-70,-72,-79,-78,-82,-82,-73,-73,-78,-77,-77,-74,-71,-80,-82,-70,-70,-71,-74,-72,-74,-70,-84,-82,-81,-83,-79,-76,-73,-83,-73,-68,-70,-83,-80,-79,-80,-69,-82,-69,-71,-69,-78,-72,-81,-72,-75,-78,-72,-69,-81,-70,-82,-72,-79,-80,-84,-77,-80,-85,-72,-81,-68,-79,-71,-69,-81,-70,-81,-81,-72,-71,-72,-79,-76,-80,-81,-72,-70,-70,-80,-72,-81,-79,-81,-80,-70,-80,-71,-81,-78,-71,-70,-74,-71,-82,-80,-5626.7007,3441450.0,0.0,-2814,9,-28131
-82,-82,-70,-69,-79,-68,-70,-82,-73,-68,-83,-82,-70,-75,-71,-71,-69,-66,-65,-69,-83,-73,-79,-67,-68,-73,-84,-82,-87,-81,-85,-76,-88,-85,-71,-74,-72,-80,-77,-84,-72,-77,-76,-80,-71,-85,-73,-73,-81,-84,-80,-73,-84,-70,-77,-75,-67,-80,-81,-84,-71,-74,-68,-68,-81,-79,-80,-71,-71,-79,-71,-80,-77,-70,-87,-83,-70,-79,-72,-85,-84,-65,-80,-80,-79,-71,-73,-71,-74,-70,-83,-73,-68,-68,-72,-80,-78,-83,-84,-74,-72,-78,-78,-78,-74,-71,-82,-84,-67,-67,-69,-73,-71,-74,-69,-86,-84,-83,-86,-80,-78,-72,-84,-72,-66,-68,-86,-83,-80,-82,-66,-84,-67,-70,-66,-78,-71,-82,-72,-75,-78,-71,-66,-83,-67,-82,-71,-79,-80,-85,-78,-81,-87,-72,-83,-65,-81,-69,-66,-82,-68,-83,-85,-71,-69,-71,-81,-76,-81,-81,-71,-68,-67,-81,-72,-83,-80,-82,-79,-68,-81,-69,-82,-79,-69,-68,-74,-71,-84,-80,-5626.138,3441265.2,0.0,-2814,9,-28131
-81,-82,-71,-68,-80,-69,-70,-82,-72,-68,-82,-82,-72,-76,-71,-71,-70,-67,-65,-69,-82,-72,-80,-67,-68,-73,-84,-83,-87,-81,-86,-75,-87,-85,-71,-74,-72,-80,-77,-85,-73,-77,-76,-81,-72,-86,-73,-73,-80,-85,-79,-73,-85,-70,-78,-74,-67,-80,-80,-83,-70,-74,-69,-68,-80,-79,-81,-70,-71,-79,-70,-79,-77,-70,-88,-84,-70,-78,-73,-85,-84,-64,-79,-79,-79,-72,-72,-71,-76,-71,-82,-73,-68,-68,-72,-81,-79,-83,-83,-73,-72,-78,-77,-77,-73,-71,-81,-84,-67,-67,-69,-73,-71,-73,-69,-87,-84,-83,-86,-79,-77,-72,-84,-72,-66,-67,-86,-83,-81,-82,-67,-84,-67,-70,-66,-78,-71,-82,-72,-75,-78,-71,-65,-83,-68,-82,-72,-80,-80,-85,-77,-81,-87,-73,-82,-64,-82,-69,-67,-83,-68,-83,-84,-71,-69,-72,-80,-75,-80,-82,-71,-68,-68,-82,-71,-83,-79,-83,-79,-68,-82,-70,-82,-79,-69,-69,-74,-71,-84,-81,-5627.013,3442138.8,0.0,-2814,9,-28131
-81,-81,-72,-70,-79,-70,-71,-81,-73,-70,-81,-80,-72,-76,-71,-72,-70,-68,-67,-70,-82,-73,-79,-68,-70,-74,-83,-81,-85,-80,-84,-76,-86,-83,-72,-74,-73,-79,-78,-82,-74,-77,-76,-79,-72,-83,-73,-74,-80,-82,-79,-73,-83,-71,-77,-75,-68,-80,-80,-82,-72,-74,-69,-70,-80,-78,-80,-72,-72,-78,-71,-79,-77,-71,-85,-82,-71,-78,-73,-83,-82,-67,-78,-79,-78,-72,-73,-72,-75,-71,-81,-73,-69,-69,-73,-79,-78,-82,-82,-73,-73,-78,-77,-77,-74,-71,-80,-83,-69,-69,-70,-73,-71,-74,-70,-84,-83,-82,-84,-80,-77,-73,-83,-73,-67,-70,-84,-82,-79,-81,-68,-82,-69,-71,-68,-78,-72,-81,-72,-75,-77,-72,-68,-82,-69,-82,-72,-79,-80,-84,-78,-80,-85,-73,-81,-67,-80,-70,-68,-81,-70,-81,-83,-72,-71,-72,-79,-76,-80,-81,-72,-70,-69,-81,-72,-82,-79,-82,-80,-70,-81,-71,-82,-78,-70,-69,-74,-71,-83,-80,-5626.904,3441587.2,0.0,-2814,9,-28131
-87,-85,-65,-65,-81,-64,-65,-86,-71,-60,-88,-83,-65,-72,-70,-70,-66,-61,-62,-64,-86,-72,-81,-61,-65,-71,-86,-82,-91,-85,-90,-76,-93,-89,-68,-73,-72,-84,-80,-87,-71,-77,-77,-80,-68,-90,-69,-73,-85,-86,-83,-74,-88,-63,-76,-73,-63,-82,-85,-92,-69,-70,-65,-64,-87,-83,-83,-69,-68,-83,-65,-84,-77,-72,-93,-89,-67,-84,-69,-90,-87,-59,-79,-80,-79,-71,-69,-68,-69,-66,-86,-70,-63,-62,-70,-78,-78,-85,-91,-74,-72,-81,-80,-78,-72,-69,-84,-87,-65,-65,-68,-72,-72,-72,-67,-90,-90,-84,-88,-82,-78,-72,-87,-73,-61,-68,-89,-88,-82,-85,-61,-86,-61,-65,-63,-81,-70,-87,-69,-73,-80,-66,-61,-83,-62,-85,-67,-81,-81,-93,-77,-84,-95,-66,-89,-58,-81,-67,-61,-86,-62,-90,-88,-71,-63,-70,-84,-76,-83,-84,-68,-65,-63,-83,-71,-86,-83,-82,-83,-65,-84,-63,-80,-82,-69,-63,-72,-66,-90,-84,-5624.724,3440485.0,5.0825963e-26,-2813,9,-28121
