WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,LONGITUDE,LATITUDE
-51,-100,-64,-90,-65,-98,-71,-89,-93,-67,9.329932,8.427136
-46,-105,-60,-90,-62,-99,-68,-93,-98,-63,9.510388,8.050749
-45,-107,-60,-86,-67,-102,-69,-98,-91,-63,7.6742916,9.220522
-54,-101,-66,-88,-67,-95,-68,-98,-88,-67,9.853946,9.664515
-53,-96,-66,-82,-67,-88,-69,-101,-90,-61,9.757785,10.997191
-49,-101,-57,-101,-59,-97,-71,-101,-97,-73,12.447314,10.5613785
-53,-97,-64,-85,-67,-91,-71,-97,-89,-65,9.059955,10.451318
-42,-98,-46,-98,-60,-94,-71,-98,-100,-69,11.00433,9.474854
-54,-91,-55,-94,-63,-92,-73,-95,-95,-72,11.070778,9.746831
-53,-93,-64,-87,-63,-87,-67,-97,-97,-64,12.040175,9.755858
-51,-96,-60,-97,-62,-88,-72,-97,-94,-70,11.976933,10.712245
-57,-92,-59,-96,-65,-99,-70,-88,-92,-77,11.404003,7.602711
-52,-95,-64,-91,-65,-91,-68,-91,-93,-66,11.394096,8.549081
-54,-99,-65,-88,-66,-93,-75,-91,-92,-67,8.371015,9.837433
-48,-100,-64,-90,-65,-92,-67,-96,-93,-63,10.99852,9.299163
-54,-101,-66,-94,-67,-93,-68,-93,-88,-72,10.819469,8.922496
-51,-105,-59,-86,-67,-101,-73,-91,-89,-67,6.0314174,8.458762
-50,-100,-56,-92,-62,-102,-71,-101,-95,-67,10.051013,9.788351
-55,-98,-60,-90,-65,-98,-72,-93,-91,-71,8.995212,9.009214
-56,-95,-65,-83,-66,-88,-70,-102,-91,-64,9.948049,11.206228
-47,-94,-50,-99,-54,-92,-74,-110,-102,-66,13.266636,12.75497
-44,-94,-50,-96,-58,-90,-71,-106,-100,-64,12.628802,11.5831785
-55,-92,-59,-86,-66,-96,-74,-90,-94,-68,8.648146,8.857035
-52,-97,-55,-94,-64,-98,-70,-96,-90,-72,10.148635,9.056504
-58,-92,-63,-87,-65,-91,-69,-94,-93,-68,10.766973,8.997895
-51,-101,-65,-91,-65,-97,-68,-97,-92,-66,10.827,9.341928
-53,-93,-60,-88,-60,-87,-71,-102,-98,-64,11.478515,11.3717165
-51,-101,-67,-82,-67,-94,-70,-102,-89,-61,8.724061,11.243434
-51,-100,-59,-91,-65,-102,-71,-90,-93,-71,8.914797,8.104671
-53,-99,-64,-86,-67,-94,-71,-96,-89,-66,8.790278,9.9901495
-52,-86,-56,-88,-63,-84,-71,-98,-98,-62,11.901073,10.258752
-49,-94,-58,-89,-62,-85,-69,-105,-96,-62,11.870608,11.532393
-59,-98,-68,-85,-64,-94,-69,-101,-91,-68,10.262792,10.694771
-58,-95,-62,-87,-65,-98,-73,-93,-91,-70,8.836099,9.3105755
-56,-100,-63,-85,-67,-95,-71,-98,-89,-69,8.30679,10.069889
-40,-105,-64,-89,-59,-95,-65,-103,-101,-56,11.981865,10.480722
-51,-91,-57,-91,-61,-83,-73,-104,-97,-64,11.903777,12.240753
-53,-100,-64,-88,-66,-96,-74,-89,-90,-68,7.862616,9.24091
-42,-106,-51,-91,-59,-95,-67,-101,-101,-65,9.753131,9.367622
-47,-92,-56,-95,-59,-87,-70,-104,-99,-64,13.466823,11.5780525
-56,-95,-64,-90,-68,-89,-71,-93,-88,-71,10.063154,9.690805
-58,-88,-61,-84,-62,-90,-74,-100,-97,-63,10.496118,11.12931
-52,-103,-56,-89,-67,-100,-71,-95,-89,-72,7.483034,8.767349
-62,-93,-67,-86,-67,-90,-73,-95,-88,-71,9.505594,10.460348
-49,-98,-55,-96,-59,-92,-71,-106,-98,-67,12.182986,11.423059
-56,-92,-64,-95,-64,-93,-69,-95,-91,-70,12.758979,9.416989
-49,-91,-60,-91,-63,-83,-69,-97,-97,-63,12.546744,10.292419
-53,-93,-51,-96,-56,-98,-74,-110,-101,-68,12.4799795,11.987369
-61,-91,-62,-85,-66,-92,-72,-102,-90,-68,10.053108,10.8753605
-46,-108,-63,-90,-67,-100,-66,-98,-89,-65,9.284424,8.90598
-47,-100,-62,-87,-63,-87,-68,-103,-95,-62,10.755875,11.313296
-52,-95,-54,-94,-59,-94,-72,-108,-97,-68,11.908576,11.827731
-53,-103,-66,-87,-69,-96,-68,-93,-87,-68,8.6508465,8.646764
-51,-95,-60,-85,-61,-89,-70,-101,-99,-61,10.630037,10.709748
-58,-96,-65,-85,-68,-91,-69,-95,-88,-70,9.359966,9.51246
-54,-93,-64,-89,-65,-93,-72,-91,-94,-67,10.466886,9.315758
-57,-100,-62,-86,-69,-91,-71,-91,-86,-73,7.419267,8.973427
-50,-94,-59,-93,-62,-85,-72,-98,-95,-67,11.52329,11.126345
-52,-100,-60,-89,-60,-93,-68,-106,-96,-66,11.164668,11.124182
-57,-97,-60,-87,-64,-94,-71,-95,-92,-71,8.966167,9.442422
-47,-105,-53,-95,-63,-96,-71,-99,-93,-72,9.122068,9.87162
-59,-97,-66,-87,-68,-95,-68,-91,-88,-72,9.548349,8.248863
-50,-101,-57,-86,-66,-103,-74,-91,-92,-66,6.625152,8.51563
-55,-95,-63,-81,-62,-91,-72,-99,-97,-61,9.134768,10.701482
-50,-98,-55,-93,-62,-95,-69,-95,-97,-71,10.645689,8.802699
-55,-102,-70,-87,-64,-97,-68,-95,-92,-67,10.0878,9.41452
-52,-97,-60,-93,-63,-98,-66,-95,-93,-70,11.682717,8.367094
-46,-99,-62,-92,-59,-89,-64,-100,-101,-62,13.364832,9.669636
-54,-100,-60,-86,-67,-95,-73,-93,-89,-69,7.283356,9.397768
-51,-92,-57,-95,-61,-87,-73,-101,-96,-69,12.233199,11.665044
-53,-100,-60,-91,-61,-98,-69,-107,-94,-69,11.228044,11.274942
-51,-100,-64,-87,-63,-94,-67,-93,-97,-65,10.3108425,8.533177
-59,-97,-65,-88,-60,-93,-70,-106,-95,-68,11.468732,11.670057
-55,-91,-58,-91,-61,-90,-72,-102,-96,-67,11.77886,11.102602
-54,-100,-69,-89,-66,-95,-71,-88,-91,-68,9.42576,8.770919
-57,-91,-65,-85,-64,-88,-74,-96,-94,-64,10.064607,10.927385
-62,-87,-62,-92,-63,-94,-74,-101,-91,-70,12.053142,11.130772
-53,-97,-59,-93,-63,-93,-71,-102,-93,-70,11.159818,10.892551
-42,-97,-51,-101,-57,-93,-70,-106,-101,-68,13.732347,11.554331
-53,-99,-55,-93,-64,-96,-72,-99,-91,-73,9.472868,10.053117
-55,-99,-64,-82,-67,-95,-70,-93,-91,-67,7.893355,9.060163
-55,-95,-63,-83,-64,-90,-74,-101,-93,-63,8.957482,11.695436
-50,-102,-65,-93,-65,-100,-69,-89,-92,-68,10.137534,7.9790015
-50,-100,-64,-83,-62,-97,-73,-104,-95,-59,8.968195,11.863822
-51,-95,-53,-96,-58,-96,-71,-102,-100,-69,12.208182,10.223075
-56,-105,-66,-84,-67,-95,-66,-102,-87,-69,8.778097,10.010472
-48,-91,-56,-93,-58,-86,-70,-104,-102,-63,13.47447,11.50391
-60,-90,-63,-89,-64,-95,-74,-97,-91,-69,10.562017,10.507056
-51,-99,-59,-91,-63,-91,-70,-107,-92,-67,10.971531,11.839916
-56,-88,-62,-85,-66,-87,-72,-95,-93,-64,10.462434,10.117031
-54,-100,-65,-83,-66,-95,-70,-101,-90,-65,8.785892,10.755102
-62,-86,-62,-84,-65,-87,-75,-99,-92,-67,10.080321,11.367004
-47,-99,-54,-93,-56,-95,-68,-107,-102,-64,12.341094,10.871206
-50,-104,-54,-91,-63,-103,-71,-93,-95,-72,7.975228,8.140924
-52,-102,-61,-86,-66,-102,-72,-92,-91,-66,7.367996,8.530798
-52,-91,-55,-87,-60,-88,-74,-103,-100,-62,10.599904,11.551323
-52,-100,-68,-92,-65,-96,-70,-89,-92,-67,10.471836,8.604794
-47,-103,-56,-95,-56,-95,-69,-110,-100,-66,12.201693,11.90168
-49,-101,-64,-87,-62,-93,-67,-104,-95,-62,11.050402,10.931846
-42,-96,-54,-92,-53,-86,-67,-110,-108,-57,14.054114,12.017577
-56,-104,-65,-80,-68,-96,-70,-94,-89,-67,6.445438,9.020807
-48,-102,-60,-84,-64,-98,-72,-92,-96,-62,7.435374,8.8804035
-60,-87,-61,-87,-64,-88,-73,-97,-94,-67,10.960881,10.367644
-56,-96,-62,-95,-66,-98,-69,-92,-87,-73,10.95221,8.371058
-58,-86,-60,-88,-63,-89,-73,-99,-95,-67,11.599852,10.919278
-57,-95,-66,-90,-66,-93,-73,-89,-90,-70,9.698052,9.22028
-56,-96,-60,-94,-65,-96,-71,-92,-90,-74,10.334633,8.788807
-55,-98,-67,-92,-67,-94,-68,-90,-90,-71,10.933878,8.323434
-57,-91,-60,-96,-62,-95,-73,-98,-92,-72,12.133087,10.512766
-59,-90,-59,-91,-64,-91,-74,-95,-92,-72,10.448889,10.123108
-57,-95,-59,-89,-67,-94,-76,-91,-89,-72,7.902882,9.573053
-52,-98,-56,-92,-65,-91,-73,-95,-91,-72,9.039819,9.973271
-55,-97,-59,-93,-66,-98,-69,-92,-91,-74,10.286242,8.060517
-52,-93,-54,-94,-64,-93,-72,-96,-92,-72,10.593482,9.789544
-56,-94,-61,-81,-68,-92,-73,-92,-91,-65,7.448797,9.230834
-51,-102,-68,-86,-63,-95,-69,-99,-94,-62,10.092372,10.429888
-56,-97,-60,-84,-68,-98,-74,-89,-90,-70,6.784972,8.582538
-46,-108,-68,-84,-63,-97,-67,-104,-94,-59,9.499006,11.051831
-54,-91,-59,-91,-64,-93,-70,-92,-95,-69,11.254528,8.689361
-59,-93,-64,-89,-66,-91,-73,-94,-90,-71,9.994536,10.064771
-48,-95,-51,-89,-63,-89,-71,-97,-96,-66,9.483115,9.682948
-51,-99,-53,-91,-64,-103,-69,-97,-92,-70,9.261665,8.365492
-45,-109,-64,-90,-64,-101,-67,-94,-94,-63,9.200297,8.329312
-51,-102,-58,-88,-62,-99,-66,-96,-97,-67,9.7843075,7.990678
-40,-110,-63,-86,-59,-99,-63,-107,-100,-56,10.8372755,10.420742
-48,-101,-66,-86,-65,-91,-64,-102,-93,-61,11.354398,10.113761
-60,-96,-67,-82,-66,-93,-72,-100,-90,-67,8.9134655,10.996566
-55,-97,-60,-89,-66,-97,-70,-90,-92,-71,9.185357,7.970812
-50,-105,-64,-81,-65,-98,-71,-96,-94,-62,7.0290504,9.673866
-50,-100,-60,-95,-63,-102,-69,-99,-93,-67,11.352451,9.252018
-57,-89,-61,-89,-65,-86,-72,-99,-92,-68,11.349748,10.964973
-55,-93,-64,-82,-64,-89,-72,-104,-93,-61,9.988061,11.953982
-56,-93,-63,-83,-66,-88,-70,-97,-92,-65,9.673574,10.134168
-46,-102,-54,-95,-60,-98,-67,-99,-97,-69,11.140094,9.093107
-51,-107,-60,-82,-67,-102,-72,-92,-92,-66,5.4322467,8.341242
-54,-97,-57,-86,-66,-102,-74,-93,-90,-67,7.273463,8.845873
-58,-94,-61,-89,-62,-94,-70,-103,-95,-69,11.427149,10.639572
-57,-98,-59,-90,-66,-102,-71,-90,-90,-74,8.568741,7.7852893
-47,-106,-65,-85,-63,-97,-68,-107,-93,-59,9.643257,11.459085
-56,-98,-67,-91,-67,-96,-69,-88,-89,-71,10.145816,8.019142
-54,-96,-63,-86,-66,-89,-68,-96,-91,-67,10.091164,9.621406
-46,-105,-65,-83,-64,-97,-69,-105,-92,-58,8.87358,11.474093
-54,-96,-63,-94,-64,-92,-70,-94,-92,-71,11.471563,9.549776
-40,-105,-51,-90,-56,-91,-65,-106,-105,-60,11.148994,10.151456
-46,-106,-59,-98,-61,-100,-67,-102,-95,-69,11.844986,9.750035
-53,-101,-64,-86,-69,-96,-71,-91,-88,-68,7.7850995,8.7985
-51,-88,-55,-90,-58,-84,-72,-106,-102,-61,12.893504,12.067648
-50,-105,-67,-88,-64,-97,-67,-93,-95,-66,9.7997465,8.622336
-52,-110,-65,-84,-64,-102,-69,-94,-94,-67,7.07093,8.560787
-56,-90,-59,-92,-60,-93,-71,-100,-98,-69,12.521069,10.466962
-55,-97,-69,-82,-68,-90,-71,-99,-88,-63,9.078364,11.165152
-51,-105,-66,-81,-68,-96,-70,-98,-88,-62,7.068214,10.093085
-53,-96,-62,-84,-63,-96,-75,-100,-95,-62,8.770528,11.289187
-51,-92,-57,-92,-61,-83,-74,-103,-97,-65,11.641121,12.246813
-50,-97,-56,-95,-63,-99,-67,-97,-92,-70,11.52498,8.654412
-55,-91,-60,-92,-61,-87,-73,-99,-96,-69,11.824383,11.312142
-54,-99,-68,-89,-66,-95,-70,-93,-90,-67,10.066707,9.422857
-54,-88,-57,-90,-61,-86,-73,-102,-98,-64,12.033425,11.396045
-49,-99,-63,-82,-62,-90,-64,-104,-98,-60,11.069576,10.366267
-55,-92,-64,-91,-66,-93,-70,-91,-93,-69,11.415633,8.7928915
-49,-104,-67,-85,-60,-97,-69,-97,-99,-61,9.717326,9.972139
-47,-106,-61,-99,-65,-99,-65,-90,-91,-71,11.180932,7.0265594
-49,-98,-54,-89,-64,-101,-71,-92,-96,-66,8.6988945,7.8914638
-52,-97,-55,-96,-63,-105,-70,-95,-92,-72,10.675113,8.286145
-45,-107,-62,-94,-64,-104,-69,-92,-92,-65,9.409802,8.142919
-53,-105,-66,-82,-68,-96,-68,-96,-89,-65,7.5779643,9.1325445
-55,-97,-65,-82,-65,-90,-66,-97,-94,-65,10.023113,9.33344
-50,-106,-69,-87,-66,-96,-65,-99,-90,-65,10.134486,9.649219
-53,-90,-58,-93,-62,-85,-73,-98,-96,-68,11.945498,11.052457
-52,-101,-59,-86,-61,-99,-70,-110,-94,-62,9.879571,11.469755
-53,-101,-66,-89,-65,-91,-66,-96,-92,-68,10.816611,9.234987
-49,-107,-67,-86,-65,-98,-68,-95,-92,-65,8.62754,9.315952
-54,-90,-56,-95,-58,-88,-76,-106,-96,-68,12.414469,12.763807
-52,-104,-69,-87,-66,-96,-68,-93,-91,-67,9.346445,9.108774
-57,-99,-61,-87,-69,-99,-72,-88,-87,-72,7.2365093,7.8162727
-52,-100,-56,-93,-64,-92,-73,-99,-90,-72,9.179291,10.699936
-51,-93,-55,-94,-64,-93,-70,-93,-95,-71,11.20393,8.722479
-55,-99,-61,-88,-65,-90,-72,-98,-91,-70,9.019679,10.575219
-52,-89,-55,-92,-59,-88,-72,-104,-99,-65,12.602823,11.580129
-53,-100,-59,-89,-66,-102,-72,-88,-91,-70,7.7690225,7.6812444
-44,-109,-55,-99,-61,-110,-65,-93,-95,-71,10.480221,6.6912727
-50,-97,-60,-98,-61,-92,-70,-96,-96,-70,12.557228,9.834889
-58,-96,-64,-88,-63,-90,-71,-101,-93,-69,10.651067,11.050105
-45,-110,-58,-87,-64,-106,-73,-90,-95,-64,5.844691,8.021863
-53,-97,-62,-93,-62,-95,-70,-96,-96,-67,11.523376,9.355271
-53,-100,-67,-85,-64,-93,-67,-98,-94,-65,10.368793,9.859637
-48,-100,-61,-89,-65,-96,-70,-91,-95,-64,9.384536,8.413621
-51,-99,-61,-88,-61,-90,-72,-108,-95,-63,10.637446,12.453961
-50,-103,-64,-97,-65,-95,-67,-96,-90,-71,11.692444,9.199097
-54,-103,-66,-83,-66,-96,-69,-94,-91,-66,7.989776,9.084122
-57,-91,-62,-87,-67,-86,-70,-99,-90,-67,10.834304,10.440502
-50,-96,-62,-87,-63,-88,-71,-103,-94,-62,10.686666,11.780527
-44,-110,-61,-88,-61,-107,-68,-95,-97,-65,8.295817,8.611983
-47,-95,-53,-96,-58,-96,-68,-104,-99,-67,13.057055,10.395925
-59,-98,-66,-84,-66,-93,-72,-97,-89,-68,8.511618,10.352033
-58,-95,-65,-84,-63,-94,-73,-102,-93,-65,9.667483,11.486817
-55,-93,-61,-82,-67,-90,-71,-94,-93,-64,8.755721,9.322608
-48,-102,-55,-93,-57,-95,-70,-110,-100,-66,11.520713,11.923432
-47,-104,-58,-97,-61,-95,-68,-104,-93,-69,11.646287,10.718465
-56,-97,-62,-89,-67,-98,-72,-87,-90,-72,8.503181,7.9841433
-43,-109,-66,-94,-62,-101,-66,-95,-96,-63,11.024331,8.689876
-55,-96,-66,-86,-64,-93,-72,-99,-94,-64,10.206746,10.819121
-57,-91,-62,-83,-64,-88,-71,-96,-95,-64,9.90549,9.950484
-52,-97,-57,-95,-61,-91,-73,-105,-94,-70,11.3883505,11.996936
-57,-88,-62,-84,-66,-87,-73,-94,-94,-64,9.986505,9.997586
-51,-103,-66,-85,-66,-96,-66,-106,-89,-64,10.135,10.996956
-57,-91,-61,-85,-64,-87,-71,-98,-94,-66,10.33776,10.418511
-53,-93,-60,-89,-62,-87,-70,-103,-96,-65,11.798031,11.265801
-58,-91,-64,-86,-64,-94,-76,-97,-94,-66,9.740417,11.070739
-48,-94,-57,-93,-63,-84,-71,-97,-95,-66,11.417997,10.589713
-57,-94,-55,-94,-63,-98,-73,-95,-93,-75,10.147964,9.200824
-52,-102,-60,-93,-64,-97,-68,-98,-92,-73,10.474941,9.424786
-58,-91,-61,-87,-63,-92,-76,-100,-93,-67,9.773954,11.634975
-57,-96,-68,-90,-68,-92,-70,-87,-89,-70,10.121012,8.226268
-51,-99,-59,-86,-60,-96,-70,-110,-96,-61,10.515945,11.83965
-48,-96,-55,-101,-61,-101,-68,-100,-93,-71,13.239952,9.454363
-60,-94,-66,-84,-67,-91,-72,-99,-88,-68,9.343948,10.895853
-53,-101,-68,-81,-67,-92,-68,-100,-89,-63,8.819117,10.627785
-51,-102,-66,-88,-68,-92,-70,-93,-88,-67,8.865099,9.582695
-54,-93,-60,-90,-66,-91,-70,-91,-92,-69,10.374714,8.643593
-54,-99,-64,-86,-65,-90,-68,-97,-91,-68,9.75338,9.930788
-49,-102,-56,-92,-64,-105,-69,-94,-92,-70,9.100864,8.081507
-42,-110,-65,-86,-63,-101,-69,-97,-96,-59,8.359516,9.721667
